| T Value | L2 Evaluated Difference | H1 Evaluated Difference | L2 Evaluated Percentage   |
|---------|-------------------------|-------------------------|---------------------------|
|0|317.952|356.388|29.0086|
|0.02|316.983|354.851|22.8965|
|0.04|316.029|353.615|20.0583|
|0.06|315.086|352.465|18.1924|
|0.08|314.153|351.36|16.7931|
|0.1|313.228|350.281|15.6692|
|0.12|312.31|349.223|14.7279|
|0.14|311.399|348.179|13.9172|
|0.16|310.495|347.149|13.2051|
|0.18|309.597|346.129|12.5704|
|0.2|308.705|345.119|11.9982|
|0.22|307.818|344.117|11.4776|
|0.24|306.936|343.124|11.0005|
|0.26|306.06|342.138|10.5605|
|0.28|305.189|341.159|10.1526|
|0.3|304.323|340.186|9.77279|
|0.32|303.461|339.219|9.41772|
|0.34|302.604|338.258|9.08462|
|0.36|301.751|337.302|8.77118|
|0.38|300.902|336.352|8.47541|
|0.4|300.058|335.407|8.19564|
|0.42|299.218|334.467|7.93042|
|0.44|298.381|333.531|7.67846|
|0.46|297.548|332.6|7.43868|
|0.48|296.719|331.673|7.2101|
|0.5|295.894|330.75|6.99185|
|0.52|295.072|329.832|6.78317|
|0.54|294.254|328.917|6.58339|
|0.56|293.438|328.007|6.39188|
|0.58|292.626|327.1|6.2081|
|0.6|291.818|326.196|6.03155|
|0.62|291.012|325.296|5.86178|
|0.64|290.209|324.4|5.69837|
|0.66|289.41|323.507|5.54096|
|0.68|288.613|322.617|5.38921|
|0.7|287.818|321.73|5.24279|
|0.72|287.027|320.846|5.10143|
|0.74|286.238|319.965|4.96486|
|0.76|285.452|319.087|4.83283|
|0.78|284.668|318.212|4.70511|
|0.8|283.887|317.34|4.58151|
|0.82|283.108|316.47|4.46182|
|0.84|282.331|315.603|4.34586|
|0.86|281.557|314.738|4.23347|
|0.88|280.785|313.876|4.12448|
|0.9|280.015|313.016|4.01876|
|0.92|279.247|312.159|3.91617|
|0.94|278.481|311.304|3.81658|
|0.96|277.718|310.451|3.71986|
|0.98|276.956|309.6|3.62591|
|1|276.196|308.752|3.53461|
